--- Lv1: はじめての熟語 (超基本) ---
青空,あおぞら,晴れ渡った空,台風が過ぎ去り、気持ちのいい{{target}}が広がっている。
朝日,あさひ,朝昇る太陽,{{target}}を浴びて、新しい一日が始まる。
夕日,ゆうひ,夕方沈む太陽,海に沈んでいく{{target}}がとても綺麗だ。
星空,ほしぞら,星が出ている夜空,山の上から見上げた{{target}}は天然のプラネタリウムのようだ。
天気,てんき,空の様子,明日の{{target}}は晴れ時々曇りの予報です。
雨雲,あまぐも,雨を降らせる雲,西の空から黒い{{target}}が近づいてきた。
大雨,おおあめ,激しく降る雨,昨夜の{{target}}で川の水位が上がっている。
小雨,こさめ,弱く降る雨,{{target}}が降ってきたので、傘をさして歩いた。
雷雨,らいう,雷と雨,突然の激しい{{target}}に見舞われた。
雪国,ゆきぐに,雪の多い地方,トンネルを抜けると、そこは一面の{{target}}だった。
空気,くうき,地球を包む気体,山の上の{{target}}は澄んでいて美味しい。
電気,でんき,エネルギー,こまめに{{target}}を消して節電する。
電話,でんわ,通話する機械,遠く離れた友人と{{target}}で話す。
会話,かいわ,話をすること,家族との楽しい{{target}}が弾む。
読書,どくしょ,本を読むこと,秋の夜長に{{target}}を楽しむ。
書店,しょてん,本屋,駅前の{{target}}で新刊を買う。
売店,ばいてん,小さな店,駅の{{target}}で新聞とガムを買う。
花火,はなび,空に咲く火,夏の夜空に大きな{{target}}が打ち上がった。
花見,はなみ,桜を見ること,満開の桜の下で{{target}}をする。
見学,けんがく,見て学ぶこと,社会科の授業で工場{{target}}に行く。
学校,がっこう,学ぶ場所,毎日元気に{{target}}へ通う。
校歌,こうか,学校の歌,卒業式で全員で{{target}}を斉唱する。
歌手,かしゅ,歌う人,将来の夢は有名な{{target}}になることだ。
手足,てあし,手と足,準備運動で{{target}}をぶらぶらさせる。
不足,ふそく,足りないこと,睡眠{{target}}で頭がぼんやりする。
遠足,えんそく,歩いて行く行事,明日は待ちに待った{{target}}の日だ。
海水,かいすい,海の水,{{target}}浴を楽しんだあと、シャワーを浴びる。
砂浜,すなはま,海辺の砂地,白い{{target}}に足跡を残して歩く。
草花,くさばな,草と花,春になると、野原いっぱいに{{target}}が咲き乱れる。
森林,しんりん,木々が茂る場所,{{target}}浴をしてリラックスする。
岩石,がんせき,岩と石,火山の噴火で飛んできた{{target}}を調査する。
火山,かざん,火を噴く山,{{target}}が噴火し、警戒レベルが引き上げられた。
日本,にほん,私たちの国,{{target}}の首都は東京だ。
教室,きょうしつ,授業を受ける部屋,休み時間の{{target}}は生徒たちの笑い声で賑やかだ。
先生,せんせい,教える人,分からないところを{{target}}に質問する。
生徒,せいと,学ぶ人,その学校の{{target}}数は全校で500人だ。
作文,さくぶん,文章を書くこと,夏休みの思い出について{{target}}を書く。
日記,にっき,毎日の記録,寝る前に今日あったことを{{target}}につける。
図画,ずが,絵を描くこと,{{target}}工作の授業で水彩画を描いた。
算数,さんすう,数の計算,{{target}}のテストで100点を取った。
理科,りか,自然科学の勉強,{{target}}の実験で顕微鏡を使う。
社会,しゃかい,世の中の仕組み,{{target}}の授業で地図記号を覚える。
体育,たいいく,体を動かす授業,{{target}}の時間にドッジボールをした。
音楽,おんがく,音を楽しむこと,{{target}}室からピアノの音が聞こえてくる。
親子,おやこ,親と子,休日に公園で{{target}}仲良くキャッチボールをする。
兄弟,きょうだい,兄と弟,彼らは顔がそっくりな{{target}}だ。
姉妹,しまい,姉と妹,彼女たちは{{target}}でお揃いの服を着ている。
家族,かぞく,暮らす人々,週末は{{target}}みんなで旅行に出かける。
友人,ゆうじん,友達,古い{{target}}と久しぶりに会って食事をした。
知人,ちじん,知り合い,街で偶然、昔の{{target}}に見かけられた。
大人,おとな,成人した人,子供料金は半額だが、{{target}}は通常料金だ。
子供,こども,幼い人,公園で{{target}}たちが元気に走り回っている。
元気,げんき,活発な様子,ご飯をたくさん食べて{{target}}いっぱいに育つ。
病気,びょうき,体調不良,{{target}}にならないように手洗いうがいをする。
勇気,ゆうき,立ち向かう心,{{target}}を出して初めてのことに挑戦する。
本気,ほんき,真剣な気持ち,彼は冗談ではなく{{target}}で怒っているようだ。
食事,しょくじ,ご飯を食べること,バランスの良い{{target}}を心がける。
朝食,ちょうしょく,朝ごはん,忙しくても{{target}}はしっかり食べるべきだ。
昼食,ちゅうしょく,昼ごはん,会社の近くの定食屋で{{target}}をとる。
夕食,ゆうしょく,晩ごはん,今日の{{target}}はカレーライスだ。
時計,とけい,時間を計る道具,壁にかかっている{{target}}が正午を知らせた。
時間,じかん,時の流れ,楽しい{{target}}はあっという間に過ぎてしまう。
半日,はんにち,一日の半分,午前中だけで仕事が終わり、{{target}}休暇をもらった。
毎日,まいにち,日々,健康のために{{target}}ジョギングをしている。
来年,らいねん,次の年,{{target}}こそは海外旅行に行きたい。
今年,ことし,今の年,{{target}}の夏は例年になく暑い。
去年,きょねん,前の年,{{target}}着ていた服がもう小さくなってしまった。
上下,じょうげ,上と下,エレベーターで{{target}}に移動する。
左右,さゆう,左と右,道路を渡る時は{{target}}をよく確認しよう。
前後,ぜんご,前と後ろ,列の{{target}}の人と間隔を空けて並ぶ。
大小,だいしょう,大きさと小ささ,{{target}}様々な大きさの箱が積まれている。
強弱,きょうじゃく,強さと弱さ,ピアノの演奏に{{target}}をつけて表現豊かに弾く。
高低,こうてい,高さと低さ,この土地は{{target}}差が激しく坂が多い。
明暗,めいあん,明るさと暗さ,その一瞬の判断が、勝負の{{target}}を分けた。
開閉,かいへい,開け閉め,このドアはボタン一つで自動的に{{target}}する。
入出,にゅうしゅつ,入り出し,建物の入り口で{{target}}の管理を行う。
入口,いりぐち,入る場所,建物の{{target}}で警備員が立っている。
出口,でぐち,出る場所,迷路の{{target}}をやっと見つけた。
