料理,りょうり,食事を作る,休日は父が手作りの{{target}}を振る舞ってくれる。
野菜,やさい,畑の作物,健康のために毎日たっぷりと{{target}}を食べる。
果物,くだもの,甘い実,食後のデザートに季節の{{target}}をいただく。
弁当,べんとう,携帯食,天気がいいので公園で{{target}}を広げよう。
茶碗,ちゃわん,ご飯の器,お気に入りの{{target}}で食べるとご飯が美味しい。
牛乳,ぎゅうにゅう,ミルク,カルシウムを摂るために{{target}}を飲む。
砂糖,さとう,甘味料,コーヒーに{{target}}とミルクを入れる。
醤油,しょうゆ,調味料,刺身に{{target}}をつけて食べる。
封筒,ふうとう,手紙の袋,書類を茶色の{{target}}に入れて郵送する。
鉛筆,えんぴつ,筆記具,削りたての{{target}}でノートに字を書く。
黒板,こくばん,教室の板,日直が授業の後に{{target}}をきれいに消す。
宿題,しゅくだい,家での課題,夏休みの{{target}}を早めに終わらせる。
制服,せいふく,学校の服,新しい{{target}}に袖を通して登校する。
廊下,ろうか,通路,学校の{{target}}を走ってはいけません。
階段,かいだん,段差の道,エレベーターを使わずに{{target}}で上がる。
屋上,おくじょう,屋根の上,{{target}}から街の景色を一望する。
玄関,げんかん,入り口,{{target}}に靴をきれいに揃えて脱ぐ。
庭園,ていえん,庭,日本{{target}}の静けさに心が洗われる。
公園,こうえん,広場,休日の{{target}}は家族連れで賑わっている。
病院,びょういん,医療機関,風邪を引いたので近くの{{target}}に行く。
道路,どうろ,道,この{{target}}は交通量が多いので注意が必要だ。
信号,しんごう,交通の光,横断歩道の{{target}}が青に変わるのを待つ。
電車,でんしゃ,列車,満員の{{target}}に揺られて通勤する。
切符,きっぷ,乗車券,改札口に{{target}}を通してホームに入る。
空港,くうこう,飛行場のターミナル,国際{{target}}で海外からの客を出迎える。
港町,みなとまち,港のある町,{{target}}の市場で新鮮な魚を買う。
温泉,おんせん,湧き出る湯,露天風呂のある{{target}}で旅の疲れを癒やす。
筋肉,きんにく,体の肉,ジムでトレーニングをして{{target}}を鍛える。
心臓,しんぞう,鼓動する臓器,緊張して{{target}}がドキドキと高鳴る。
睡眠,すいみん,眠り,健康のためには十分な{{target}}が必要だ。
呼吸,こきゅう,息遣い,深{{target}}をして心を落ち着かせる。
表情,ひょうじょう,顔つき,彼女はとても豊かな{{target}}で話をする。
笑顔,えがお,笑い顔,赤ちゃんの無邪気な{{target}}に癒やされる。
涙声,なみだごえ,泣く声,別れの時、彼女は{{target}}で「さようなら」と言った。
握手,あくしゅ,手を握る,試合後にお互いの健闘を称えて{{target}}を交わす。
拍手,はくしゅ,手を叩く,素晴らしい演奏に会場から盛大な{{target}}が送られた。
銀行,ぎんこう,お金を預ける所,駅前の{{target}}でお金を下ろす。
郵便,ゆうびん,手紙を送る,近くの{{target}}局から小包を送る。
住所,じゅうしょ,住んでいる所,年賀状を送るために友人の{{target}}を聞く。
氏名,しめい,名前,テスト用紙に{{target}}を記入する。
年齢,ねんれい,年の数,アンケートに性別と{{target}}を回答する。
性別,せいべつ,男女の別,このトイレは{{target}}に関係なく誰でも使える。
職業,しょくぎょう,仕事,将来つきたい{{target}}について考える。
趣味,しゅみ,楽しみ,私の{{target}}は映画鑑賞と読書です。
特技,とくぎ,得意なこと,履歴書の{{target}}欄に「英会話」と書く。
性格,せいかく,人柄,彼は明るく前向きな{{target}}の持ち主だ。
感情,かんじょう,心の動き,怒りの{{target}}を抑えて冷静に話す。
感動,かんどう,心を動かされる,映画のラストシーンに深く{{target}}した。
感心,かんしん,感銘を受ける,彼の真面目な働きぶりには{{target}}する。
感謝,かんしゃ,ありがとうの心,日頃の{{target}}を込めてプレゼントを贈る。
反省,はんせい,振り返る,失敗を{{target}}して次は同じミスをしない。
後悔,こうかい,悔やむ,あの時もっと勉強しておけばよかったと{{target}}する。
満足,まんぞく,満ち足りる,美味しい料理を食べてお腹いっぱいになり{{target}}した。
納得,なっとく,理解して認める,先生の説明を聞いてようやく{{target}}がいった。
期待,きたい,当てにする,彼の活躍にみんなが{{target}}している。
失望,しつぼう,がっかりする,結果が出せなくて周りを{{target}}させてしまった。
絶望,ぜつぼう,希望を失う,試験に落ちて{{target}}の淵に立たされた。
緊張,きんちょう,張り詰める,発表会の前で{{target}}して手が震える。
興奮,こうふん,高ぶる,試合の劇的な展開に観客は{{target}}した。
熱中,ねっちゅう,夢中になる,時間を忘れてゲームに{{target}}する。
集中,しゅうちゅう,一点に集める,周りの音を遮断して勉強に{{target}}する。
注意,ちゅうい,気を配る,車に{{target}}して道路を横断する。
意識,いしき,自覚する,健康を{{target}}して野菜を多く摂る。
感覚,かんかく,感じ方,久しぶりに運動して体の{{target}}を取り戻す。
記憶,きおく,覚えていること,幼い頃の{{target}}が鮮明に蘇る。
想像,そうぞう,思い描く,小説を読みながら登場人物の姿を{{target}}する。
理想,りそう,最高の状態,現実は厳しく、{{target}}通りにはいかない。
現実,げんじつ,実際の事柄,夢ばかり見ていないで{{target}}を見なさい。
目標,もくひょう,目指すもの,今年の{{target}}は漢字検定に合格することだ。
目的,もくてき,目指す事柄,この旅行の主な{{target}}は温泉に入ることだ。
手段,しゅだん,方法,目的のためなら{{target}}を選ばない。
方法,ほうほう,やり方,問題を解決するための良い{{target}}を考える。
理由,りゆう,わけ,遅刻した{{target}}を先生に説明する。
原因,げんいん,元になる事柄,事故の{{target}}を詳しく調査する。
結果,けっか,結末,努力の{{target}}が実って合格できた。
結論,けつろん,最終的な判断,長い議論の末、ようやく{{target}}が出た。
議論,ぎろん,話し合う,環境問題について活発に{{target}}する。
